2022-12-14 11:53:47,296 | maa | INFO | run.py started with args: Namespace(agent=None, debug=True, folder='colony', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=True)
2022-12-14 11:54:02,968 | maa | INFO | run.py started with args: Namespace(agent=None, debug=True, folder='colony', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=True)
2022-12-14 11:54:19,111 | maa | DEBUG | ==========
2022-12-14 11:54:19,111 | maa | INFO | Start sampling roadmap for [R1]
2022-12-14 11:54:19,116 | maa | INFO | Building transition graph
2022-12-14 11:54:19,117 | maa | INFO | [('FREE', 'NA')]
2022-12-14 11:54:19,117 | maa | INFO | [('CARRY', 'NA'), 'E1', 0]
2022-12-14 11:54:19,119 | maa | INFO | [('CARRY', 'NA'), 'E1', 2]
2022-12-14 11:54:19,120 | maa | INFO | [('CARRY', 'NA'), 'E2', 0]
2022-12-14 11:54:19,121 | maa | INFO | [('CARRY', 'NA'), 'E2', 1]
2022-12-14 11:54:19,122 | maa | INFO | [('CARRY', 'NA'), 'E2', 2]
2022-12-14 11:54:19,122 | maa | INFO | [('CARRY', 'NA'), 'E3', 0]
2022-12-14 11:54:19,123 | maa | INFO | [('CARRY', 'NA'), 'E3', 2]
2022-12-14 11:54:19,124 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2022-12-14 11:54:23,555 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2022-12-14 11:54:28,483 | maa | INFO | run.py started with args: Namespace(agent=None, debug=False, folder='colony', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=False)
2022-12-14 11:54:29,140 | maa | INFO | Start sampling roadmap for [R1]
2022-12-14 11:54:29,144 | maa | INFO | Building transition graph
2022-12-14 11:54:29,145 | maa | INFO | [('FREE', 'NA')]
2022-12-14 11:54:29,146 | maa | INFO | [('CARRY', 'NA'), 'E1', 0]
2022-12-14 11:54:29,147 | maa | INFO | [('CARRY', 'NA'), 'E1', 2]
2022-12-14 11:54:29,147 | maa | INFO | [('CARRY', 'NA'), 'E2', 0]
2022-12-14 11:54:29,148 | maa | INFO | [('CARRY', 'NA'), 'E2', 1]
2022-12-14 11:54:29,149 | maa | INFO | [('CARRY', 'NA'), 'E2', 2]
2022-12-14 11:54:29,149 | maa | INFO | [('CARRY', 'NA'), 'E3', 0]
2022-12-14 11:54:29,150 | maa | INFO | [('CARRY', 'NA'), 'E3', 2]
2022-12-14 11:54:29,152 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2022-12-14 11:54:33,092 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2022-12-14 11:54:34,943 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, box]
2022-12-14 11:54:36,158 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, box]
2022-12-14 11:54:36,804 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, box]
