2022-12-15 18:00:17,094 | maa | INFO | run.py started with args: Namespace(agent=None, debug=False, folder='simple_lego', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=False)
2022-12-15 18:06:48,500 | maa | INFO | run.py started with args: Namespace(agent=None, debug=False, folder='simple_lego', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=False)
2022-12-15 18:07:31,724 | maa | INFO | run.py started with args: Namespace(agent=None, debug=False, folder='simple_lego', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=False)
2022-12-15 18:07:32,493 | maa | INFO | Start sampling roadmap for [R1]
2022-12-15 18:07:32,505 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:07:33,725 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:07:35,671 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:07:38,223 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:07:38,310 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:07:44,203 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:07:47,566 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:08:03,249 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:08:03,435 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:09,359 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:11,732 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:17,566 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:17,778 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:08:19,961 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:08:21,622 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:08:23,254 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:08:23,432 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:08:24,261 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:08:27,320 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:08:29,636 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:08:29,825 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:08:35,988 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:08:40,212 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:08:43,631 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:08:43,836 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:45,527 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:47,369 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:52,110 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:08:52,504 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:08:54,553 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:08:57,351 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:02,050 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:02,146 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:02,448 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:02,753 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:03,866 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:03,909 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:05,217 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:07,175 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:10,659 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:10,782 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:12,786 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:14,312 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:17,829 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:17,959 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:18,102 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:18,528 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:19,738 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:19,794 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:20,383 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:20,805 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:22,307 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, lego]
2022-12-15 18:09:22,385 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:25,396 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:26,603 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:31,360 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, lego]
2022-12-15 18:09:31,495 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:32,674 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:33,362 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:34,986 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E3] with Operation [gripper, lego]
2022-12-15 18:09:35,141 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:36,431 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:36,983 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:38,546 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E4] with Operation [gripper, lego]
2022-12-15 18:09:38,627 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E1', 'START', 1)
2022-12-15 18:09:38,628 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E1', 'START', 3)
2022-12-15 18:09:38,629 | maa | INFO | Find 6 trajectories for ('DETACH', 'ELEMENT', 'E1', 'START', 4)
2022-12-15 18:09:38,630 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E2', 'START', 0)
2022-12-15 18:09:38,631 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E2', 'START', 1)
2022-12-15 18:09:38,632 | maa | INFO | Find 12 trajectories for ('DETACH', 'ELEMENT', 'E2', 'START', 2)
2022-12-15 18:09:38,632 | maa | INFO | Find 6 trajectories for ('DETACH', 'ELEMENT', 'E3', 'START', 0)
2022-12-15 18:09:38,633 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E3', 'START', 1)
2022-12-15 18:09:38,634 | maa | INFO | Find 12 trajectories for ('DETACH', 'ELEMENT', 'E3', 'START', 2)
2022-12-15 18:09:38,635 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E4', 'START', 1)
2022-12-15 18:09:38,636 | maa | INFO | Find 3 trajectories for ('DETACH', 'ELEMENT', 'E4', 'START', 3)
2022-12-15 18:09:38,636 | maa | INFO | Find 5 trajectories for ('DETACH', 'ELEMENT', 'E4', 'START', 4)
2022-12-15 18:09:38,637 | maa | INFO | Find 2 trajectories for ('GRASP', 'ELEMENT', 'E1', 'START', 1)
2022-12-15 18:09:38,638 | maa | INFO | Find 2 trajectories for ('GRASP', 'ELEMENT', 'E1', 'START', 3)
2022-12-15 18:09:38,638 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E1', 'START', 4)
2022-12-15 18:09:38,639 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E2', 'START', 0)
2022-12-15 18:09:38,640 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E2', 'START', 1)
2022-12-15 18:09:38,640 | maa | INFO | Find 12 trajectories for ('GRASP', 'ELEMENT', 'E2', 'START', 2)
2022-12-15 18:09:38,641 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E3', 'START', 0)
2022-12-15 18:09:38,641 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E3', 'START', 1)
2022-12-15 18:09:38,642 | maa | INFO | Find 12 trajectories for ('GRASP', 'ELEMENT', 'E3', 'START', 2)
2022-12-15 18:09:38,642 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E4', 'START', 3)
2022-12-15 18:09:38,643 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E4', 'START', 4)
2022-12-15 18:09:38,644 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E1', 'GOAL', 1)
2022-12-15 18:09:38,644 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E1', 'GOAL', 3)
2022-12-15 18:09:38,645 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E1', 'GOAL', 4)
2022-12-15 18:09:38,646 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E2', 'GOAL', 0)
2022-12-15 18:09:38,646 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E2', 'GOAL', 1)
2022-12-15 18:09:38,647 | maa | INFO | Find 12 trajectories for ('GRASP', 'ELEMENT', 'E2', 'GOAL', 2)
2022-12-15 18:09:38,647 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E3', 'GOAL', 0)
2022-12-15 18:09:38,648 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E3', 'GOAL', 1)
2022-12-15 18:09:38,648 | maa | INFO | Find 12 trajectories for ('GRASP', 'ELEMENT', 'E3', 'GOAL', 2)
2022-12-15 18:09:38,649 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E4', 'GOAL', 1)
2022-12-15 18:09:38,650 | maa | INFO | Find 3 trajectories for ('GRASP', 'ELEMENT', 'E4', 'GOAL', 3)
2022-12-15 18:09:38,650 | maa | INFO | Find 6 trajectories for ('GRASP', 'ELEMENT', 'E4', 'GOAL', 4)
2022-12-15 18:09:38,651 | maa | INFO | Find 3 trajectories for ('ATTACH', 'ELEMENT', 'E1', 'GOAL', 1)
2022-12-15 18:09:38,651 | maa | INFO | Find 3 trajectories for ('ATTACH', 'ELEMENT', 'E1', 'GOAL', 3)
